Date,No1,No2,No3,No4,No5,No6,Lucky,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Division 8 Winners,Division 8 Prize
24/09/2025,8,13,26,30,31,41,3,0,0,0,0,6,14907.15,45,1000,509,126.7,2076,80.65,8304,19.5,34615,10
20/09/2025,3,8,9,11,17,24,6,0,0,0,0,16,4190.7,86,1000,597,117,3493,51.9,8559,20.5,47346,7.9
17/09/2025,3,7,14,28,29,40,4,0,0,1,1000000,16,4095.5,72,1000,524,120.8,2707,60.7,8196,19.4,39191,8.65
13/09/2025,8,12,24,32,35,39,5,0,0,0,0,18,3958.4,79,1000,648,106.65,2856,62.8,8559,20.3,38532,9.6
10/09/2025,21,22,27,28,33,38,5,0,0,0,0,13,6081.35,61,1000,481,136.65,2173,78.5,7743,21.35,35088,10.05
06/09/2025,13,17,18,28,35,42,1,0,0,0,0,8,10146.7,69,1000,420,166.9,2555,71.25,6668,26.45,40159,9.35
03/09/2025,5,9,20,21,22,23,3,0,0,0,0,10,8670.9,43,1000,644,96.7,2529,63.9,9412,16.65,37596,8.85
30/08/2025,9,14,18,26,36,40,6,0,0,0,0,12,5865.1,79,1000,550,124.85,2943,60.55,7501,23,41004,8.95
27/08/2025,2,14,24,35,37,42,5,0,0,0,0,7,11682.3,54,1000,461,139.35,2112,78.95,6994,23.1,31601,10.9
23/08/2025,1,4,13,14,21,39,2,0,0,1,1000000,13,8089.15,40,1000,429,164.35,2375,77.05,7237,24.5,36729,10.3
20/08/2025,2,14,16,21,32,37,5,0,0,0,0,11,8532.5,31,1000,405,150.6,1974,80.2,6799,22.55,31107,10.5
16/08/2025,3,10,11,13,14,32,4,0,0,1,1000000,8,11010.1,43,1000,470,133.95,2248,72.7,7491,21.15,37434,9
13/08/2025,3,11,18,20,25,31,5,0,0,0,0,10,6293.75,60,1000,448,127.3,2123,69.75,6610,21.7,31578,9.65
09/08/2025,15,17,28,32,35,42,5,0,0,1,1000000,20,2987.9,75,1000,625,98.5,2998,53.3,8000,19.35,36816,8.95
06/08/2025,5,21,25,29,37,42,5,0,0,0,0,12,4876.55,58,1000,413,130.6,1835,76.3,6802,19.95,28146,10.25
02/08/2025,8,11,18,23,25,41,6,0,0,1,1000000,10,7097.5,47,1000,402,138.85,2031,71.35,5990,23.4,33265,9
30/07/2025,4,10,21,25,37,39,5,0,0,0,0,4,18889.45,34,1000,318,166.1,1685,81.4,5674,23.4,26208,10.8
26/07/2025,2,4,17,25,36,37,5,0,0,1,1000000,9,8740.65,40,1000,319,178.35,1626,90.85,5517,25.9,26473,11.5
23/07/2025,1,21,24,33,35,37,5,0,0,0,0,7,9770.25,35,1000,350,141.6,1605,80.15,5500,22.65,25038,10.6
19/07/2025,4,9,22,31,33,40,3,0,0,0,0,19,2767.35,67,1000,611,89.35,2379,59.55,7824,17.55,32320,9.05
16/07/2025,12,13,22,33,38,40,4,0,0,0,0,7,8852.75,43,1000,335,147.9,1918,67.05,5605,22.2,28260,9.4
12/07/2025,4,9,10,14,23,38,1,0,0,0,0,5,17424.85,27,1000,353,158.35,2149,67.5,5268,26.65,33710,8.9
09/07/2025,3,6,8,28,29,30,4,0,0,0,0,10,6310.35,40,1000,364,134.3,1956,64.9,5590,22,29460,8.9
05/07/2025,5,19,27,38,40,42,6,0,0,0,0,5,15601.95,30,1000,380,138,1969,69.15,5548,23.75,29531,9.5
02/07/2025,6,29,31,33,36,40,4,0,0,0,0,8,8117.05,32,1000,266,174.95,1417,85.25,4861,24.05,24062,10.35
28/06/2025,2,14,29,33,37,40,2,0,0,0,0,9,5873,58,1000,372,137.15,1792,73.9,5541,23.15,26320,10.4
25/06/2025,9,17,18,24,34,37,1,0,0,0,0,3,20053.35,35,1000,254,178.45,1723,68.3,3966,28.75,25022,9.7
21/06/2025,12,14,20,27,31,41,1,0,0,1,1000000,5,11210.15,48,1000,289,168,1856,67.9,4203,29.05,26683,9.75
18/06/2025,1,7,9,21,38,40,5,0,0,1,1000000,9,6401.85,41,1000,344,135.1,1730,69.75,5859,19.95,27729,9
